id,motif,probability,motif_index
3,176,0.7881708145141602,1
3,175,0.13501867651939392,2
3,183,0.04334486648440361,3
3,121,0.020006662234663963,4
3,156,0.01167286466807127,5
8,197,0.6143237948417664,1
8,138,0.3255953788757324,2
8,81,0.0491555854678154,3
8,64,0.0092313252389431,4
9,117,0.9841354489326477,1
9,64,0.012412335723638535,2
11,138,0.6674144864082336,1
11,197,0.2936675250530243,2
11,64,0.02969425916671753,3
11,188,0.005945500917732716,4
14,81,0.6055700778961182,1
14,68,0.3171008229255676,2
14,94,0.0330372080206871,3
14,197,0.02643231861293316,4
14,162,0.008815479464828968,5
14,100,0.006672728806734085,6
15,67,0.4140959084033966,1
15,18,0.3121839165687561,2
15,9,0.2552545964717865,3
15,22,0.008266604505479336,4
15,178,0.008266263641417027,5
17,121,0.4422834515571594,1
17,141,0.33325454592704773,2
17,64,0.0802478939294815,3
17,175,0.06382787972688675,4
17,198,0.04938077926635742,5
17,23,0.012355240061879158,6
17,18,0.010302572511136532,7
17,8,0.006181466858834028,8
18,34,0.6160367131233215,1
18,67,0.3388238847255707,2
18,64,0.04203188046813011,3
20,18,0.4497445225715637,1
20,106,0.2826952040195465,2
20,67,0.12079211324453354,3
20,121,0.08739163726568222,4
20,162,0.023137245327234268,5
20,100,0.012927033007144928,6
20,175,0.010352744720876217,7
20,141,0.010290946811437607,8
21,115,0.873536229133606,1
21,67,0.061426203697919846,2
21,64,0.03755282610654831,3
21,96,0.025599265471100807,4
22,81,0.9012408256530762,1
22,99,0.050787411630153656,2
22,197,0.012704872526228428,3
22,100,0.006442693527787924,4
22,175,0.006437208503484726,5
22,165,0.006391316186636686,6
22,168,0.006365316919982433,7
22,138,0.006360560189932585,8
23,145,0.6637395620346069,1
23,19,0.1340312510728836,2
23,121,0.06276436895132065,3
23,175,0.04045037180185318,4
23,78,0.028749406337738037,5
23,18,0.02340996451675892,6
23,64,0.022348837926983833,7
23,132,0.012772814370691776,8
23,183,0.010650125332176685,9
24,106,0.6576606631278992,1
24,18,0.22070646286010742,2
24,51,0.041938792914152145,3
24,64,0.03974762558937073,4
24,94,0.03752387687563896,5
25,198,0.7823672294616699,1
25,95,0.18830323219299316,2
25,64,0.009296530857682228,3
25,141,0.00928820576518774,4
25,106,0.007962489500641823,5
26,22,0.7687343955039978,1
26,34,0.10755059868097305,2
26,44,0.06374099105596542,3
26,67,0.04979531466960907,4
26,100,0.006034862250089645,5
26,132,0.002007625764235854,6
27,81,0.8699023127555847,1
27,188,0.051943134516477585,2
27,117,0.03246314078569412,3
27,86,0.02381438948214054,4
27,64,0.01949843019247055,5
28,106,0.4031909704208374,1
28,18,0.3018151521682739,2
28,148,0.23578403890132904,3
28,64,0.042465388774871826,4
28,91,0.011799314059317112,5
28,175,0.0024250843562185764,6
